Mount,Panel,Top/Shape,Material,Type,Size,Handing,Finish Texture,Panel Style,Hinge Finish,Casing Finish,Casing Profile,,Stock Item Number,Lowes Stock Item Number,New Number
Pre-hung,Panel,Square,Molded,2 Flat,24,LH,SM,NK,PFJ,,,,794054,1101820,
Pre-hung,Panel,Square,Molded,2 Flat,28,RH,SM,NK,PFJ,,,,794055,1101821,
Pre-hung,Panel,Square,Molded,2 Flat,28,LH,SM,NK,PFJ,,,,794056,1101822,
Pre-hung,Panel,Square,Molded,2 Flat,30,RH,SM,NK,PFJ,,,,794057,1101823,
Pre-hung,Panel,Square,Molded,2 Flat,30,LH,SM,NK,PFJ,,,,794058,1101824,
Pre-hung,Panel,Square,Molded,2 Flat,32,RH,SM,NK,PFJ,,,,794059,1101825,
Pre-hung,Panel,Square,Molded,2 Flat,32,LH,SM,NK,PFJ,,,,794060,1101826,
Pre-hung,Panel,Square,Molded,2 Flat,36,RH,SM,NK,PFJ,,,,794061,1101827,
Pre-hung,Panel,Square,Molded,2 Flat,36,LH,SM,NK,PFJ,,,,794062,1101828,
Pre-hung,Panel,Square,Molded,2 Flat,356,RH,SM,NK,PFJ,,,,838429,1101829,
Pre-hung,Panel,Square,Molded,2 Flat,356,LH,SM,NK,PFJ,,,,838430,1101830,
Pre-hung,Panel,Square,Molded,2 Flat,356,RH,SM,NK,PFJ,,,,838431,1101831,
Pre-hung,Panel,Square,Molded,2 Flat,356,LH,SM,NK,PFJ,,,,838432,1101832,
Pre-hung,Panel,Square,Molded,2 Flat,356,RH,SM,NK,PFJ,,,,838433,1101833,
Pre-hung,Panel,Square,Molded,2 Flat,356,LH,SM,NK,PFJ,,,,838434,1101834,
Pre-hung,Panel,Square,Molded,2 Flat,356,RH,SM,NK,PFJ,,,,838435,1101835,
Pre-hung,Panel,Square,Molded,2 Flat,356,LH,SM,NK,PFJ,,,,838436,1101836,
Pre-hung,Panel,Square,Molded,2 Flat,356,RH,SM,NK,PFJ,,,,838437,1101837,
Pre-hung,Panel,Square,Molded,2 Flat,356,LH,SM,NK,PFJ,,,,838438,1101838,
Pre-hung,Panel,Square,Molded,2 Flat,24,RH,SM,PFJ366NK,,,,,5208948,1101993,
Pre-hung,Panel,Square,Molded,2 Flat,24,LH,SM,PFJ366NK,,,,,5208949,1101994,
Pre-hung,Panel,Square,Molded,2 Flat,28,RH,SM,PFJ366NK,,,,,5208950,1101995,
Pre-hung,Panel,Square,Molded,2 Flat,28,LH,SM,PFJ366NK,,,,,5208951,1101996,
Pre-hung,Panel,Square,Molded,2 Flat,30,RH,SM,PFJ366NK,,,,,5208952,1101997,6035978
Pre-hung,Panel,Square,Molded,2 Flat,30,LH,SM,PFJ366,NK,,,,5208953,1101998,
Pre-hung,Panel,Square,Molded,2 Flat,32,RH,SM,PFJ366,NK,,,,5208954,1101999,
Pre-hung,Panel,Square,Molded,2 Flat,32,LH,SM,PFJ366,NK,,,,5208955,1102000,
Pre-hung,Panel,Square,Molded,2 Flat,36,RH,SM,PFJ366,NK,,,,5208956,1102001,
Pre-hung,Panel,Square,Molded,2 Flat,36,LH,SM,PFJ366,NK,,,,5208957,1102002,
