Program,Material,Core_Type,Style,Finish_Texture,Glass_Info,Configuration,Size_Width_in,Size_Height_in,Handing,Jamb_Type,Jamb_Casing,Hinge_Finish,Special_Features,Bore_Status,Original_Description,Current_Stock_Item_Number,Lowe's_Pro_Stock_Item_Number
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Slab,36,80,,Double Bore,,,,Bored,"36 6-PANEL SLAB DB",5517557,6542018
Exterior Pro Program,Fiberglass,Solid Core,6 Panel,Smooth,,Single Prehung,32,80,Left-Hand,Double Bore,,,,Bored,"32 6 PANEL FG SMOOTH LH DB",228472,6541994
Exterior Pro Program,Fiberglass,Solid Core,6 Panel,Smooth,,Single Prehung,32,80,Right-Hand,Double Bore,,,,Bored,"32 6 PANEL FG SMOOTH RH DB",228471,6541990
Exterior Pro Program,Fiberglass,Solid Core,6 Panel,Smooth,,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 6 PANEL FG SMOOTH LH DB",228474,6541997
Exterior Pro Program,Fiberglass,Solid Core,6 Panel,Smooth,,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 6 PANEL FG SMOOTH RH DB",228473,6541987
Exterior Pro Program,Fiberglass,Solid Core,4-Lite,Prefinished Black,3/4 View 4-Lite,Single Prehung,36,80,Left-Hand,Double Bore,,,Composite Jamb,Bored,"36 BLACK 3/4 VIEW 4-LITE LH DB CJ",5459131,6542004
Exterior Pro Program,Fiberglass,Solid Core,4-Lite,Prefinished Black,3/4 View 4-Lite,Single Prehung,36,80,Right-Hand,Double Bore,,,Composite Jamb,Bored,"36 BLACK 3/4 VIEW 4-LITE RH DB CJ",5459135,6542009
Exterior Pro Program,Fiberglass,Solid Core,Craftsman Shaker,Prefinished Black,6-Lite,Single Prehung,36,80,Left-Hand,Double Bore,,,Composite Jamb,Bored,"36 BLACK 6-LITE CRFT SHAKER LH DB CJ",5459130,6542008
Exterior Pro Program,Fiberglass,Solid Core,Craftsman Shaker,Prefinished Black,6-Lite,Single Prehung,36,80,Right-Hand,Double Bore,,,Composite Jamb,Bored,"36 BLACK 6-LITE CRFT SHAKER RH DB CJ",5459134,6542011
Exterior Pro Program,Fiberglass,Solid Core,Craftsman Shaker,Prefinished Beechwood,3-Lite,Single Prehung,36,80,Left-Hand,Double Bore,,,Composite Jamb,Bored,"36 BCHWD 3-LITE SHAKER CRFT LH DB CJ",5459133,6542005
Exterior Pro Program,Fiberglass,Solid Core,Craftsman Shaker,Prefinished Beechwood,3-Lite,Single Prehung,36,80,Right-Hand,Double Bore,,,Composite Jamb,Bored,"36 BCHWD 3-LITE SHAKER CRFT RH DB CJ",5459128,6542002
Exterior Pro Program,Fiberglass,Solid Core,Shaker,Prefinished Beechwood,Decorative Grid,Single Prehung,36,80,Left-Hand,Double Bore,,,Composite Jamb,Bored,"36 BCHWD DEC GRID SHAKER LH DB CJ",5459132,6542006
Exterior Pro Program,Fiberglass,Solid Core,Shaker,Prefinished Beechwood,Decorative Grid,Single Prehung,36,80,Right-Hand,Double Bore,,,Composite Jamb,Bored,"36 BCHWD DEC GRID SHAKER RH DB CJ",5459136,6542013
Exterior Pro Program,Fiberglass,Solid Core,Craftsman Shaker,Prefinished White,4-Lite,Single Prehung,36,80,Left-Hand,Double Bore,,,Composite Jamb,Bored,"36 WHITE 4-LITE SHAKER CRFT LH DB CJ",1790355,6542025
Exterior Pro Program,Fiberglass,Solid Core,Craftsman Shaker,Prefinished White,4-Lite,Single Prehung,36,80,Right-Hand,Double Bore,,,Composite Jamb,Bored,"36 WHITE 4-LITE SHAKER CRFT RH DB CJ",1790356,6542019
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Mahogany,Varissa Zinc Oval,Single Prehung,36,80,Left-Hand,Double Bore,,,Composite Jamb,Bored,"36 MAHOG VARISSA ZINC OVL LH DB CJ",1790387,6542023
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Mahogany,Varissa Zinc Oval,Single Prehung,36,80,Right-Hand,Double Bore,,,Composite Jamb,Bored,"36 MAHOG VARISSA ZINC OVL RH DB CJ",1790388,6542016
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Walnut,Montebello Iron,Single Prehung,36,80,Left-Hand,Double Bore,,,Composite Jamb,Bored,"36 WLNUT MONTEBELLO IRON LH DB CJ",5208913,6541981
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Walnut,Montebello Iron,Single Prehung,36,80,Right-Hand,Double Bore,,,Composite Jamb,Bored,"36 WLNUT MONTEBELLO IRON RH DB CJ",5208914,6541982
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Dark Elm,Parson Camber Patina,Single Prehung,36,80,Left-Hand,Double Bore,,,Composite Jamb,Bored,"36 DKELM PARS CMBR PATINA LH DB CJ",1790371,6542017
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Dark Elm,Parson Camber Patina,Single Prehung,36,80,Right-Hand,Double Bore,,,Composite Jamb,Bored,"36 DKELM PARS CMBR PATINA RH DB CJ",1790372,6542020
Exterior Pro Program,Fiberglass,Solid Core,Flush,Smooth,Full Lite Miniblind,Single Prehung,32,80,Left-Hand,Double Bore,,,,Bored,"32 FULL LITE MINIBLIND LH DB",1291298,6542003
Exterior Pro Program,Fiberglass,Solid Core,Flush,Smooth,Full Lite Miniblind,Single Prehung,32,80,Right-Hand,Double Bore,,,,Bored,"32 FULL LITE MINIBLIND RH DB",1291299,6541999
Exterior Pro Program,Fiberglass,Solid Core,Flush,Smooth,Full Lite Miniblind,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 FULL LITE MINIBLIND LH DB",1291300,6542001
Exterior Pro Program,Fiberglass,Solid Core,Flush,Smooth,Full Lite Miniblind,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 FULL LITE MINIBLIND RH DB",1291301,6541993
